ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2019-06-23T18:28:00.000,0.6463,-0.7453,0.1282,-55.59,120.56,178.60
2019-06-23T18:29:00.000,0.6443,-0.7463,0.1312,-55.57,120.56,179.44
2019-06-23T18:30:00.000,0.6443,-0.7463,0.1312,-54.76,118.73,176.97
2019-06-23T18:31:00.000,0.6433,-0.7473,0.1312,-53.83,119.63,179.49
2019-06-23T18:32:00.000,0.6433,-0.7463,0.1312,-53.85,118.72,178.66
2019-06-23T18:33:00.000,0.6443,-0.7463,0.1302,-52.96,116.86,179.53
2019-06-23T18:34:00.000,0.6414,-0.7463,0.1291,-52.95,120.56,179.51
2019-06-23T18:35:00.000,0.6453,-0.7473,0.1312,-54.68,119.63,180.30
2019-06-23T18:36:00.000,0.6453,-0.7463,0.1312,-53.87,119.65,177.82
2019-06-23T18:37:00.000,0.6443,-0.7473,0.1302,-54.68,118.70,180.31
2019-06-23T18:38:00.000,0.6424,-0.7453,0.1291,-55.59,118.72,178.62
2019-06-23T18:39:00.000,0.6463,-0.7453,0.1312,-54.70,120.56,179.46
2019-06-23T18:40:00.000,0.6453,-0.7463,0.1292,-53.00,120.57,177.84
2019-06-23T18:41:00.000,0.6454,-0.7453,0.1272,-53.87,121.50,177.81
2019-06-23T18:42:00.000,0.6463,-0.7483,0.1312,-52.91,118.70,181.19
2019-06-23T18:43:00.000,0.6434,-0.7453,0.1282,-53.02,118.73,177.01
2019-06-23T18:44:00.000,0.6473,-0.7453,0.1292,-56.42,119.62,180.26
2019-06-23T18:45:00.000,0.6444,-0.7463,0.1282,-55.63,120.58,176.93
2019-06-23T18:46:00.000,0.6434,-0.7453,0.1282,-53.91,120.59,176.14
2019-06-23T18:47:00.000,0.6453,-0.7463,0.1302,-54.76,118.73,176.97
2019-06-23T18:48:00.000,0.6443,-0.7433,0.1321,-55.57,121.48,179.43
2019-06-23T18:49:00.000,0.6424,-0.7473,0.1292,-51.25,119.65,177.89
2019-06-23T18:50:00.000,0.6424,-0.7453,0.1282,-55.59,119.64,178.61
2019-06-23T18:51:00.000,0.6434,-0.7443,0.1301,-52.98,119.64,178.68
2019-06-23T18:52:00.000,0.6443,-0.7463,0.1312,-55.55,118.70,180.29
2019-06-23T18:53:00.000,0.6443,-0.7443,0.1301,-55.59,117.79,178.63
2019-06-23T18:54:00.000,0.6404,-0.7453,0.1281,-54.72,119.64,178.63
2019-06-23T18:55:00.000,0.6454,-0.7453,0.1272,-55.61,118.72,177.78
