ISO 8601 Time,Temperature (C)
2019-06-23T16:05:00.000,18.1513
2019-06-23T16:06:00.000,18.1362
2019-06-23T16:07:00.000,18.0788
2019-06-23T16:08:00.000,18.0241
2019-06-23T16:09:00.000,17.9940
2019-06-23T16:10:00.000,17.9680
2019-06-23T16:11:00.000,17.9502
2019-06-23T16:12:00.000,17.9297
2019-06-23T16:13:00.000,17.8955
2019-06-23T16:14:00.000,17.8544
2019-06-23T16:15:00.000,17.8216
2019-06-23T16:16:00.000,17.7983
2019-06-23T16:17:00.000,17.7846
2019-06-23T16:18:00.000,17.7655
2019-06-23T16:19:00.000,17.7518
2019-06-23T16:20:00.000,17.7395
2019-06-23T16:21:00.000,17.7340
2019-06-23T16:22:00.000,17.7299
2019-06-23T16:23:00.000,17.7121
2019-06-23T16:24:00.000,17.6779
2019-06-23T16:25:00.000,17.6409
2019-06-23T16:26:00.000,17.6122
2019-06-23T17:17:00.000,17.9242
2019-06-23T17:18:00.000,17.9310
2019-06-23T17:19:00.000,17.9365
2019-06-23T17:20:00.000,17.9420
2019-06-23T17:21:00.000,17.9488
2019-06-23T17:22:00.000,17.9570
2019-06-23T17:23:00.000,17.9666
2019-06-23T17:24:00.000,17.9721
2019-06-23T17:25:00.000,17.9776
2019-06-23T17:26:00.000,17.9830
2019-06-23T17:27:00.000,17.9885
2019-06-23T17:28:00.000,17.9912
2019-06-23T17:29:00.000,17.9899
2019-06-23T17:30:00.000,17.9899
2019-06-23T17:31:00.000,17.9844
2019-06-23T17:32:00.000,17.9721
2019-06-23T17:33:00.000,17.9652
2019-06-23T17:34:00.000,17.9639
2019-06-23T17:35:00.000,17.9639
2019-06-23T17:36:00.000,17.9652
2019-06-23T17:37:00.000,17.9611
2019-06-23T17:38:00.000,17.9570
2019-06-23T17:39:00.000,17.9516
2019-06-23T17:40:00.000,17.9461
2019-06-23T17:41:00.000,17.9420
2019-06-23T17:42:00.000,17.9392
2019-06-23T17:43:00.000,17.9379
2019-06-23T17:44:00.000,17.9365
2019-06-23T17:45:00.000,17.9392
2019-06-23T17:46:00.000,17.9433
2019-06-23T17:47:00.000,17.9516
2019-06-23T17:48:00.000,17.9598
2019-06-23T17:49:00.000,17.9639
2019-06-23T17:50:00.000,17.9680
2019-06-23T17:51:00.000,17.9830
2019-06-23T17:52:00.000,18.0022
2019-06-23T17:53:00.000,18.0227
2019-06-23T17:54:00.000,18.0473
2019-06-23T17:55:00.000,18.0747
2019-06-23T17:56:00.000,18.1089
2019-06-23T17:57:00.000,18.1486
2019-06-23T17:58:00.000,18.1841
2019-06-23T17:59:00.000,18.2224
2019-06-23T18:00:00.000,18.2484
2019-06-23T18:01:00.000,18.2730
2019-06-23T18:02:00.000,18.3004
2019-06-23T18:03:00.000,18.3209
2019-06-23T18:04:00.000,18.3414
2019-06-23T18:05:00.000,18.3496
2019-06-23T18:06:00.000,18.3428
2019-06-23T18:07:00.000,18.3387
2019-06-23T18:08:00.000,18.3387
2019-06-23T18:09:00.000,18.3469
2019-06-23T18:10:00.000,18.3592
2019-06-23T18:11:00.000,18.3756
2019-06-23T18:12:00.000,18.4002
2019-06-23T18:13:00.000,18.4180
2019-06-23T18:14:00.000,18.4330
2019-06-23T18:15:00.000,18.4440
2019-06-23T18:16:00.000,18.4659
2019-06-23T18:17:00.000,18.4918
2019-06-23T18:18:00.000,18.5110
2019-06-23T18:19:00.000,18.5233
2019-06-23T18:20:00.000,18.5274
2019-06-23T18:21:00.000,18.5274
2019-06-23T18:22:00.000,18.5315
2019-06-23T18:23:00.000,18.5411
2019-06-23T18:24:00.000,18.5520
2019-06-23T18:25:00.000,18.5671
2019-06-23T18:26:00.000,18.5739
2019-06-23T18:27:00.000,18.5780
2019-06-23T18:28:00.000,18.5821
2019-06-23T18:29:00.000,18.5848
2019-06-23T18:30:00.000,18.5944
2019-06-23T18:31:00.000,18.5958
2019-06-23T18:32:00.000,18.6081
2019-06-23T18:33:00.000,18.6108
2019-06-23T18:34:00.000,18.6094
2019-06-23T18:35:00.000,18.6053
2019-06-23T18:36:00.000,18.6012
2019-06-23T18:37:00.000,18.5944
2019-06-23T18:38:00.000,18.5862
2019-06-23T18:39:00.000,18.5821
2019-06-23T18:40:00.000,18.5848
2019-06-23T18:41:00.000,18.5930
2019-06-23T18:42:00.000,18.5958
2019-06-23T18:43:00.000,18.6012
2019-06-23T18:44:00.000,18.6040
2019-06-23T18:45:00.000,18.6053
2019-06-23T18:46:00.000,18.6040
2019-06-23T18:47:00.000,18.6040
2019-06-23T18:48:00.000,18.6026
2019-06-23T18:49:00.000,18.5999
2019-06-23T18:50:00.000,18.5958
2019-06-23T18:51:00.000,18.5958
2019-06-23T18:52:00.000,18.5958
2019-06-23T18:53:00.000,18.5944
2019-06-23T18:54:00.000,18.5930
2019-06-23T18:55:00.000,18.5917
2019-06-23T18:56:00.000,18.5917
2019-06-23T18:57:00.000,18.5903
2019-06-23T18:58:00.000,18.5889
2019-06-23T18:59:00.000,18.5876
2019-06-23T19:00:00.000,18.5835
2019-06-23T19:01:00.000,18.5807
2019-06-23T19:02:00.000,18.5753
2019-06-23T19:03:00.000,18.5698
2019-06-23T19:04:00.000,18.5643
2019-06-23T19:05:00.000,18.5643
2019-06-23T19:06:00.000,18.5602
2019-06-23T19:07:00.000,18.5534
2019-06-23T19:08:00.000,18.5452
2019-06-23T19:09:00.000,18.5397
2019-06-23T19:10:00.000,18.5356
2019-06-23T19:11:00.000,18.5342
2019-06-23T19:12:00.000,18.5315
2019-06-23T19:13:00.000,18.5260
2019-06-23T19:14:00.000,18.5260
2019-06-23T19:15:00.000,18.5301
2019-06-23T19:16:00.000,18.5315
2019-06-23T19:17:00.000,18.5342
2019-06-23T19:18:00.000,18.5370
2019-06-23T19:19:00.000,18.5438
2019-06-23T19:20:00.000,18.5479
2019-06-23T19:21:00.000,18.5520
2019-06-23T19:22:00.000,18.5561
2019-06-23T19:23:00.000,18.5629
2019-06-23T19:24:00.000,18.5643
2019-06-23T19:25:00.000,18.5657
2019-06-23T19:26:00.000,18.5684
2019-06-23T19:27:00.000,18.5657
2019-06-23T19:28:00.000,18.5629
